date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1,spread_prob
9/30/1923,1923,0,0,DAY,COL,1513.724,1358.787,0.780067392,7,6,1,
9/30/1923,1923,0,0,CBD,HAM,1645.539,1417.251,0.8440006523,17,0,1,
9/30/1923,1923,0,0,GB,MNN,1502.192,1464.532,0.6435850316,12,0,1,
9/30/1923,1923,0,0,RAC,TOL,1477.914,1519.931,0.5330270357,7,7,0.5,
9/30/1923,1923,0,0,ARI,BFF,1542.38,1557.657,0.5710725812,3,0,1,
10/7/1923,1923,0,0,CBD,LOU,1653.496,1414.601,0.8518720916,37,0,1,
10/7/1923,1923,0,0,GB,SLA,1519.66,1300,0.8373490727,0,0,0.5,
10/7/1923,1923,0,0,ARI,RCH,1554.01,1446.493,0.7296973656,60,0,1,
10/7/1923,1923,0,0,MNN,DUL,1447.063,1320.823,0.7504223202,0,10,0,
10/7/1923,1923,0,0,HAM,DAY,1409.294,1516.496,0.4395633805,7,0,1,
10/7/1923,1923,0,0,MIL,COL,1414.986,1356.015,0.6712037406,0,0,0.5,
10/7/1923,1923,0,0,RII,CIB,1569.972,1300,0.8730560198,0,0,0.5,
10/7/1923,1923,0,0,RAC,CHI,1476.907,1582.552,0.4417725281,0,3,0,
10/7/1923,1923,0,0,BFF,AKR,1546.028,1491.869,0.6650618916,9,0,1,
10/7/1923,1923,0,0,TOL,OOR,1520.938,1387.207,0.7584110138,7,0,1,
10/14/1923,1923,0,0,MIL,RAC,1409.765,1464.881,0.5142203834,7,7,0.5,
10/14/1923,1923,0,0,SLA,HAM,1310.289,1433.058,0.4176214914,0,0,0.5,
10/14/1923,1923,0,0,CBD,DAY,1662.965,1492.732,0.7948007503,30,0,1,
10/14/1923,1923,0,0,GB,CHI,1509.372,1594.578,0.4709539686,0,3,0,
10/14/1923,1923,0,0,COL,BFF,1361.236,1560.66,0.3156562065,0,3,0,
10/14/1923,1923,0,0,ARI,AKR,1574.618,1477.237,0.7180359739,19,0,1,
10/14/1923,1923,0,0,MNN,OOR,1407.648,1377.992,0.6329477662,23,0,1,
10/14/1923,1923,0,0,RII,RCH,1558.594,1425.886,0.7573303933,56,0,1,
10/21/1923,1923,0,0,BFF,OOR,1568.907,1355.624,0.8322873588,57,0,1,
10/21/1923,1923,0,0,ARI,MNN,1590.35,1430.016,0.7853510266,9,0,1,
10/21/1923,1923,0,0,GB,MIL,1496.433,1409.331,0.705903271,12,0,1,
10/21/1923,1923,0,0,COL,LOU,1352.988,1405.132,0.5184928319,34,0,1,
10/21/1923,1923,0,0,TOL,DAY,1530.153,1480,0.6599056863,6,3,1,
10/21/1923,1923,0,0,CHI,CBD,1607.517,1675.697,0.4954237399,0,6,0,
10/21/1923,1923,0,0,RAC,AKR,1465.314,1461.504,0.5977508127,9,7,1,
10/21/1923,1923,0,0,DUL,HAM,1360.238,1430.545,0.492363207,3,0,1,
10/21/1923,1923,0,0,CIB,SLA,1311.378,1312.801,0.5904869177,6,0,1,
10/28/1923,1923,0,0,CHI,BFF,1588.264,1580.998,0.6025248603,18,3,1,
10/28/1923,1923,0,0,TOL,COL,1539.114,1387.028,0.7772388304,0,3,0,
10/28/1923,1923,0,0,MIL,SLA,1395.22,1297.311,0.7186509263,6,0,1,
10/28/1923,1923,0,0,GB,RAC,1510.544,1473.885,0.6422621837,3,24,0,
10/28/1923,1923,0,0,CIB,OOR,1326.868,1343.534,0.5691129353,27,0,1,
10/28/1923,1923,0,0,DUL,MNN,1374.346,1421.05,0.526305749,9,0,1,
10/28/1923,1923,0,0,ARI,DAY,1599.317,1471.04,0.7526119961,13,3,1,
10/28/1923,1923,0,0,CBD,AKR,1694.95,1452.934,0.854124838,7,3,1,
11/4/1923,1923,0,0,CHI,OOR,1609.603,1315.435,0.8877076978,26,0,1,
11/4/1923,1923,0,0,RII,MIL,1576.599,1405.414,0.7956930784,3,14,0,
11/4/1923,1923,0,0,SLA,GB,1287.116,1468.915,0.3379710398,0,3,0,
11/4/1923,1923,0,0,ARI,CBD,1610.223,1699.07,0.4657351993,3,7,0,
11/4/1923,1923,0,0,CIB,BFF,1354.966,1559.658,0.309142383,0,0,0.5,
11/4/1923,1923,0,0,MNN,RAC,1399.415,1515.513,0.4269897167,13,6,1,
11/11/1923,1923,0,0,MNN,RII,1423.813,1532.298,0.4377447914,6,6,0.5,
11/11/1923,1923,0,0,SLA,OOR,1278.218,1309.072,0.5489824388,14,7,1,
11/11/1923,1923,0,0,CHI,AKR,1615.967,1448.814,0.7918940187,20,6,1,
11/11/1923,1923,0,0,CIB,DAY,1360.787,1460.134,0.4507310913,0,0,0.5,
11/11/1923,1923,0,0,MIL,DUL,1449.715,1395.981,0.6645167034,6,3,1,
11/11/1923,1923,0,0,RAC,GB,1491.116,1477.813,0.6108171346,0,16,0,
11/11/1923,1923,0,0,COL,TOL,1410.937,1515.205,0.443728208,16,0,1,
11/11/1923,1923,0,0,ARI,HAM,1595.392,1416.437,0.8028681748,6,0,1,
11/11/1923,1923,0,0,BFF,CBD,1553.837,1713.901,0.3665067576,3,3,0.5,
11/18/1923,1923,0,0,ARI,DUL,1602.298,1387.156,0.8337757891,10,0,1,
11/18/1923,1923,0,0,BFF,DAY,1557.909,1458.631,0.7202415692,3,0,1,
11/18/1923,1923,0,0,CBD,OOR,1709.83,1290.602,0.9419933434,41,0,1,
11/18/1923,1923,0,0,CIB,COL,1362.29,1443.03,0.4773638032,9,3,1,
11/18/1923,1923,0,0,CHI,RII,1626.162,1530.4,0.7161452736,7,3,1,
11/18/1923,1923,0,0,MIL,GB,1458.54,1513.702,0.5141542373,7,10,0,
11/24/1923,1923,0,0,RCH,TOL,1407.881,1483.111,0.4852820996,6,12,0,
11/24/1923,1923,0,0,SLA,MIL,1296.689,1444.221,0.3834116554,0,17,0,
11/25/1923,1923,0,0,CHI,HAM,1634.677,1409.531,0.8416044356,14,7,1,
11/25/1923,1923,0,0,GB,DUL,1528.022,1380.084,0.7730773085,10,0,1,
11/25/1923,1923,0,0,RII,MNN,1521.885,1425.711,0.7166271408,6,6,0.5,
11/25/1923,1923,0,0,COL,OOR,1422.544,1287.048,0.7602677051,27,3,1,
